Time (EET),Open,High,Low,Close,Volume 
2026.05.01 08:30:00,0.86263,0.86275,0.86257,0.8627,723.43
2026.05.01 08:45:00,0.8627,0.86273,0.86258,0.86272,779.47
2026.05.01 09:00:00,0.8627,0.86272,0.86257,0.86264,788.7
2026.05.01 09:15:00,0.86264,0.86265,0.86239,0.86241,947.92
2026.05.01 09:30:00,0.8624,0.86246,0.86209,0.86218,1089.14
2026.05.01 09:45:00,0.86218,0.86244,0.86206,0.86231,3132.89
2026.05.01 10:00:00,0.8623,0.86246,0.86206,0.8623,2340.06
2026.05.01 10:15:00,0.86231,0.86263,0.86227,0.86257,1068.9
2026.05.01 10:30:00,0.86257,0.86273,0.86253,0.86257,1393.44
2026.05.01 10:45:00,0.86259,0.86278,0.86251,0.86261,2232.15
2026.05.01 11:00:00,0.86261,0.86278,0.86253,0.86269,1288.5
2026.05.01 11:15:00,0.86269,0.8632,0.86266,0.86316,1018.78
2026.05.01 11:30:00,0.86316,0.86326,0.86297,0.86311,988.79
2026.05.01 11:45:00,0.8631,0.86315,0.86285,0.86305,910.49
2026.05.01 12:00:00,0.86306,0.86307,0.86278,0.86301,1166.64
2026.05.01 12:15:00,0.86302,0.86324,0.86296,0.86321,1119.45
2026.05.01 12:30:00,0.8632,0.86322,0.86295,0.86305,1049.16
2026.05.01 12:45:00,0.86303,0.8632,0.86302,0.86312,1822.83
2026.05.01 13:00:00,0.86312,0.86326,0.86308,0.86311,1590.27
2026.05.01 13:15:00,0.86311,0.86312,0.86288,0.86288,725.08
2026.05.01 13:30:00,0.86292,0.86313,0.8629,0.86305,931.2
2026.05.01 13:45:00,0.86305,0.86335,0.86301,0.86327,833.74
2026.05.01 14:00:00,0.86328,0.86328,0.86301,0.86322,1088.16
2026.05.01 14:15:00,0.86321,0.8633,0.86316,0.86324,1314.23
2026.05.01 14:30:00,0.86324,0.86327,0.86308,0.8631,1341.48
2026.05.01 14:45:00,0.86311,0.86324,0.86285,0.86288,1290.95
2026.05.01 15:00:00,0.86286,0.86301,0.86258,0.86269,1735.7
2026.05.01 15:15:00,0.86267,0.86277,0.86251,0.86269,2040.42
2026.05.01 15:30:00,0.86269,0.86283,0.8626,0.86273,1237.34
2026.05.01 15:45:00,0.86274,0.86279,0.86259,0.8627,1075.86
2026.05.01 16:00:00,0.86271,0.86272,0.86253,0.86271,961.8
2026.05.01 16:15:00,0.8627,0.86275,0.86259,0.86266,1257.82
2026.05.01 16:30:00,0.86267,0.86287,0.86259,0.86272,1574.19
2026.05.01 16:45:00,0.86271,0.86272,0.86237,0.8626,2800.2
2026.05.01 17:00:00,0.86268,0.86301,0.86242,0.86291,3241.75
2026.05.01 17:15:00,0.86293,0.86316,0.86281,0.86302,1849.65
2026.05.01 17:30:00,0.86303,0.86352,0.86302,0.86323,1434
2026.05.01 17:45:00,0.86322,0.86411,0.86322,0.86385,2154.85
2026.05.01 18:00:00,0.86383,0.86389,0.86363,0.86365,1962.59
2026.05.01 18:15:00,0.86363,0.86375,0.86353,0.86354,1901.27
2026.05.01 18:30:00,0.86353,0.86363,0.86339,0.86359,1318.92
2026.05.01 18:45:00,0.86359,0.86363,0.86319,0.86321,2456.67
2026.05.01 19:00:00,0.86318,0.86323,0.86297,0.86308,1256.34
2026.05.01 19:15:00,0.86308,0.86345,0.86301,0.86332,2135.79
2026.05.01 19:30:00,0.86332,0.8634,0.86314,0.86334,1633.37
2026.05.01 19:45:00,0.86332,0.86336,0.86318,0.86326,862.99
2026.05.01 20:00:00,0.86326,0.86337,0.86315,0.86324,620.91
2026.05.01 20:15:00,0.86326,0.86338,0.86318,0.86331,622.23
2026.05.01 20:30:00,0.86332,0.86341,0.8631,0.86328,761.38
