Time (EET),Open,High,Low,Close,Volume 
2025.04.30 08:00:00,0.84936,0.84961,0.84934,0.8495,854.4
2025.04.30 08:15:00,0.84951,0.84958,0.84939,0.84954,466.95
2025.04.30 08:30:00,0.84954,0.84961,0.84942,0.84944,721.2
2025.04.30 08:45:00,0.84944,0.84956,0.84937,0.84944,831.84
2025.04.30 09:00:00,0.84945,0.8498,0.84936,0.84948,1166.4
2025.04.30 09:15:00,0.84949,0.84997,0.8493,0.84989,1515.87
2025.04.30 09:30:00,0.8499,0.85039,0.84983,0.85003,1696.44
2025.04.30 09:45:00,0.85003,0.85038,0.84975,0.84994,1117.05
2025.04.30 10:00:00,0.84992,0.85004,0.84961,0.84996,1415.7
2025.04.30 10:15:00,0.84997,0.85011,0.84976,0.84986,1380.54
2025.04.30 10:30:00,0.84986,0.85019,0.84982,0.84995,1647.6
2025.04.30 10:45:00,0.84993,0.85018,0.84974,0.84999,1586.97
2025.04.30 11:00:00,0.85004,0.85052,0.84974,0.8502,2057.64
2025.04.30 11:15:00,0.85022,0.85037,0.84993,0.85024,1794.33
2025.04.30 11:30:00,0.85022,0.85059,0.85017,0.85034,1313.88
2025.04.30 11:45:00,0.85034,0.85081,0.85023,0.85065,1310.34
2025.04.30 12:00:00,0.85068,0.85089,0.8505,0.85074,1483.29
2025.04.30 12:15:00,0.85073,0.85083,0.85036,0.85074,1056.12
2025.04.30 12:30:00,0.85077,0.85107,0.85068,0.85088,849.42
2025.04.30 12:45:00,0.85087,0.85087,0.85036,0.85045,1133.4
2025.04.30 13:00:00,0.85046,0.85076,0.85046,0.85068,1010.85
2025.04.30 13:15:00,0.85068,0.8509,0.85053,0.85071,885.57
2025.04.30 13:30:00,0.85071,0.85077,0.85044,0.85053,855.24
2025.04.30 13:45:00,0.85051,0.85073,0.85034,0.85062,1082.04
2025.04.30 14:00:00,0.85064,0.85071,0.8503,0.85054,1151.04
2025.04.30 14:15:00,0.85054,0.85124,0.85043,0.85111,1387.53
2025.04.30 14:30:00,0.85112,0.85149,0.85105,0.85149,1052.58
2025.04.30 14:45:00,0.85147,0.85164,0.85131,0.85152,1784.04
2025.04.30 15:00:00,0.85151,0.85181,0.85141,0.85155,1179.24
2025.04.30 15:15:00,0.85158,0.85204,0.85106,0.85141,2317.89
2025.04.30 15:30:00,0.85142,0.85189,0.85118,0.85175,3987.21
2025.04.30 15:45:00,0.85175,0.85211,0.85147,0.85183,3106.17
